Item No.,Quantity,Name,Material
1,2,face_belt_grabber,PETG
2,3,DIN 912 M3 25 mm,- None -
3,19,"M3  Hex nut ",- None -
4,2,DIN 912 M2.5 12 mm,- None -
5,5,DIN 912 M3 8 mm,- None -
6,1,mosquito_25mm_fan,PETG
7,1,mosquito_face,PETG
8,1,mosquito,- None -
9,1,25mm fan,- None -
10,6,DIN 912 M3 10 mm,- None -
11,1,top_endstop_plug_mgn12,PETG
12,1,top_mgn12,PETG
13,4,DIN 912 M3 35 mm,- None -
14,1,back_corexy,PETG
15,1,tension_slider_9mm_belt_M5,PETG
16,1,tension_slider_9mm_belt_M5_mirror,PETG
17,1,5015 fan,- None -
18,2,DIN 912 M5 45 mm,- None -
19,2,M5  Hex nut Nyloc,- None -
20,1,bottom_mgn12_short_duct,PETG
21,2,DIN 912 M3 12 mm,- None -
22,1,Duct v2 Straight Risen,PETG
23,1,mosquito_shroud,- None -
