Item,Quantity,Name,Material
1,1,cable_holder,PETG
2,1,unversal_cable_mount,PETG
3,2,DIN 912 M3 10 mm,Hardened Alloy Steel
4,3,DIN 912 M3 12 mm,Hardened Alloy Steel
5,19,"M3  Hex nut ",Hardened Alloy Steel
6,5,DIN 912 M3 35 mm,Hardened Alloy Steel
7,4,DIN 912 M3 10 mm,Hardened Alloy Steel
8,4,"M3  Hex nut ",Hardened Alloy Steel
9,1,BMG_Extruder,"Nylon "
10,1,top_bmg_mgn15,PETG
11,1,back_corexy,PETG
12,2,tension_slider_9mm_belt_M5,PETG
13,1,DIN 912 M3 25 mm,Hardened Alloy Steel
14,2,DIN 912 M5 45 mm,Hardened Alloy Steel
15,2,M5  Hex nut Nyloc,Hardened Alloy Steel
16,1,5015 fan,- None -
17,1,bottom_mgn15,PETG
18,2,DIN 912 M3 20 mm,Hardened Alloy Steel
19,2,DIN 912 M3 40 mm,Hardened Alloy Steel
20,1,Duct v2.1 Straight,PETG
21,1,universal_face,PETG
22,2,face_belt_grabber,PETG
23,4,DIN 912 M3 8 mm,Hardened Alloy Steel
24,1,PTFE 65mm,- None -
