Item,Quantity,Name,Material
1,2,DIN 912 M3 35 mm,Hardened Alloy Steel
2,6,DIN 912 M3 10 mm,Hardened Alloy Steel
3,1,top_mgn15,PETG
4,1,back_corexy,PETG
5,2,tension_slider_9mm_belt_M5,PETG
6,19,"M3  Hex nut ",Hardened Alloy Steel
7,1,DIN 912 M3 25 mm,Hardened Alloy Steel
8,2,DIN 912 M5 45 mm,Hardened Alloy Steel
9,2,M5  Hex nut Nyloc,Hardened Alloy Steel
10,1,5015 fan,- None -
11,1,bottom_mgn15,PETG
12,2,DIN 912 M3 20 mm,Hardened Alloy Steel
13,2,DIN 912 M3 40 mm,Hardened Alloy Steel
14,1,Duct v2.1 Straight,PETG
15,1,cable_holder,PETG
16,1,unversal_cable_mount,PETG
17,3,DIN 912 M3 12 mm,Hardened Alloy Steel
18,1,universal_face,PETG
19,2,face_belt_grabber,PETG
20,4,DIN 912 M3 8 mm,Hardened Alloy Steel
