Item,Quantity,Name,Material
1,1,bottom_mgn12_short_duct,PETG
2,19,"M3  Hex nut ",Hardened Alloy Steel
3,5,DIN 912 M3 12 mm,Hardened Alloy Steel
4,2,DIN 912 M3 35 mm,Hardened Alloy Steel
5,1,Duct v2.1 Straight,PETG
6,1,back_corexy,PETG
7,2,tension_slider_9mm_belt_M5,PETG
8,1,DIN 912 M3 25 mm,Hardened Alloy Steel
9,2,DIN 912 M5 45 mm,Hardened Alloy Steel
10,2,M5  Hex nut Nyloc,Hardened Alloy Steel
11,1,5015 fan,- None -
12,1,top_orbiter_mgn12,PETG
13,2,DIN 912 M3 35 mm,Hardened Alloy Steel
14,6,DIN 912 M3 10 mm,Hardened Alloy Steel
15,1,Housing 1.5,- None -
16,2,"M3  Hex nut ",Hardened Alloy Steel
17,1,cable_holder,PETG
18,1,unversal_cable_mount,PETG
19,2,DIN 912 M3 10 mm,Hardened Alloy Steel
20,1,PTFE 65mm,- None -
21,1,universal_face,PETG
22,2,face_belt_grabber,PETG
23,4,DIN 912 M3 8 mm,Hardened Alloy Steel
