name,qty,material
bottom_mgn12_short_duct,1,PETG
M3  Hex nut ,30,Hardened Alloy Steel
DIN 912 M3 12 mm,5,Hardened Alloy Steel
DIN 912 M3 35 mm,7,Hardened Alloy Steel
Duct v2.1 Straight,1,PETG
back_corexy,1,PETG
tension_slider_9mm_belt_M5,1,PETG
tension_slider_9mm_belt_M5_mirror,1,PETG
DIN 912 M3 25 mm,5,Hardened Alloy Steel
5015 fan,1,- None -
DIN 912 M5 45 mm,2,Hardened Alloy Steel
M5  Hex nut Nyloc,2,Hardened Alloy Steel
top_endstop_plug_mgn12,1,PETG
top_titan_mgn12,1,PETG
DIN 912 M3 8 mm,8,Hardened Alloy Steel
DIN 912 M3 10 mm,13,Hardened Alloy Steel
E3D Titan,1,- None -
SSX_tensioner_thing_2426505,1,PETG
press fit,1,PETG
PTFE 73.4mm,1,- None -
cable_holder,1,PETG
unversal_cable_mount,1,PETG
V6-175-SINK,1,- None -
V6-175-BREAK,1,- None -
V6-BLOCK-CARTRIDGE,1,- None -
V6-NOZZLE-ALL,1,- None -
SOCK,1,- None -
4010 FAN,1,- None -
DIN 912 M3 20 mm,4,Hardened Alloy Steel
universal_face,1,PETG
face_belt_grabber,2,PETG
v6_face,1,PETG
v6_face_clamp,1,PETG
v6_support,1,PETG
shroud,1,PETG
PTFE 57mm,1,- None -
DIN 912 M2.5 12 mm,2,Hardened Alloy Steel
mosquito_face,1,PETG
mosquito_support,1,PETG
top_endstop_plug_mgn15,1,PETG
top_titan_mgn15,1,PETG
DIN 912 M3 40 mm,4,Hardened Alloy Steel
DIN 912 M3 6 mm,1,Hardened Alloy Steel
bottom_mgn15,1,PETG
PTFE 58.4mm,1,- None -
Dragon hotend,1,- None -
dragon_face,1,PETG
top_orbiter_mgn12,1,PETG
Orbiter,1,- None -
PTFE 45.5mm,1,- None -
PTFE 29mm,1,- None -
top_orbiter_mgn15,1,PETG
top_orbiter_mgn12_cr_10,1,PETG
top_orbiter_mgn15_cr_10,1,PETG
PTFE 30.5mm,1,- None -
top_mgn12,1,PETG
PTFE 60mm,1,- None -
PC4-M6,1,- None -
top_mgn15,1,PETG
top_bmg_mgn12,1,PETG
BMG_Extruder,1,Nylon 
PTFE 62mm,1,- None -
BMG-M_Extruder,1,- None -
bmg-m_pfte_adapter,1,PETG
DIN 912 M2.5 10 mm,2,Hardened Alloy Steel
PTFE 26.8mm,1,- None -
top_bmg_mgn15,1,PETG
PTFE 47mm,1,- None -
bottom_mgn15_hemera,1,PETG
Duct v2.1 Angled 13.2deg,1,PETG
HEMERA-175-SINK_1_1_1_1,1,- None -
hemera_face,1,PETG
hemera_probe_adapter,1,PETG
DIN 912 M3 16 mm,4,Hardened Alloy Steel
bottom_mgn15_aero,1,PETG
aero_face,1,PETG
TITAN-SINK-175-RH,1,- None -
aero_support,1,PETG
aero_front_probe,1,PETG
aero_front_probe_blank,1,PETG
