eva_part_name,qty,type,vendor_part_name,vendor_sku
4010 FAN,1,hardware,Fan - 40mm Axial Brushless 24V DC,HW2044EC
5015 fan,2,hardware,Fan - 50mm Blower Type 24V DC,HW2045EC
BLTouch,1,hardware,BLTouch v3.1 - Genuine Antclabs Auto Bed Leveling Sensor,HW2086EC
BMG_Extruder,1,hardware,Bondtech BMG Extruder - 1.75mm - Standard Orientation,HW2032EC
DIN 912 M2 10 mm,2,hardware,Cap Head Screw M2 (Single) (Length: 10mm),HW1283SC
DIN 912 M2.5 10 mm,2,hardware,Cap Head Screw M2.5 (Single) (Length: 10mm),HW2346SC
DIN 912 M2.5 12 mm,2,hardware,Cap Head Screw M2.5 (Single) (Length: 12mm),HW2347SC
DIN 912 M3 10 mm,15,hardware,Cap Head Screw M3 (Single) (Length: 10mm),HW1505SC
DIN 912 M3 12 mm,6,hardware,Cap Head Screw M3 (Single) (Length: 12mm),HW1292SC
DIN 912 M3 16 mm,4,hardware,Cap Head Screw M3 (Single) (Length: 16mm),HW1507SC
DIN 912 M3 20 mm,6,hardware,Cap Head Screw M3 (Single) (Length: 20mm),HW1504SC
DIN 912 M3 25 mm,8,hardware,Cap Head Screw M3 (Single) (Length: 25mm),HW1290SC
DIN 912 M3 30 mm,4,hardware,Cap Head Screw M3 (Single) (Length: 30mm),HW1227SK
DIN 912 M3 35 mm,7,hardware,Cap Head Screw M3 (Single) (Length: 35mm),HW1868SC
DIN 912 M3 40 mm,5,hardware,Cap Head Screw M3 (Single) (Length: 40mm),HW1869SC
DIN 912 M3 6 mm,3,hardware,Cap Head Screw M3 (Single) (Length: 6mm),HW2348SC
DIN 912 M3 8 mm,11,hardware,Cap Head Screw M3 (Single) (Length: 8mm),HW1502SC
DIN 912 M5 45 mm,2,hardware,Cap Head Screw M5 (Single) (Length: 45mm),HW2074SC
M3  Hex nut,38,hardware,Hex Locking Nut - M3,HW1251NC
M3s nut,1,hardware,Flat Square Nut - M3 (5.5mm x 5.5mm x 1.8mm),HW2010NC
M5  Hex nut Nyloc,2,hardware,Hex Locking Nut - M5,HW1039NC
Micro Limit Switch,1,hardware,Micro Limit Switch,HW1071EC
